Model,Mean_MSE,Std_MSE,Mean_R2,Std_R2
tabpfn,0.0678612145373604,0.05818643527145198,-0.003940830001007283,2.1039865896824095
pfn,0.07803792052205327,0.06750931752936463,-0.1866793752900812,2.878225597335152
extratrees,0.09366660974017037,0.08602347465974328,0.30074992284428054,0.6060116415753114
bayesridge,0.1004451820255563,0.08084135944656216,-0.059073146593531106,1.4399801187607095
ridge,0.10054347403595015,0.08096574460085534,-0.05974646224532017,1.4400189439820927
lr,0.10054677941016107,0.0808438144832621,-0.05884866386849359,1.437683526470909
gbrt,0.10446991671802729,0.12191267795088082,0.3192107811487989,0.8351484823232264
catboost,0.10605360636049556,0.12489610529205734,0.08240998737466662,1.1460661327984456
rf,0.11039111100945688,0.12514415056343395,0.18907445033693943,0.8940866364725941
xgboost,0.11349884574946785,0.13049675836025235,0.24014142779416817,0.9036566966506923
adaboost,0.11602911036705746,0.11364956447198506,0.051304501866972295,1.0534299733983703
knn,0.12097249759486456,0.13135136813625642,0.2025546609761311,0.8952657037378944
dtr,0.16566272140612984,0.15219210685309575,-0.8033823677075086,2.870745772623337
lasso,0.17115929320553608,0.09327445219474914,-0.5342751171105724,1.4088462254795104
